,geometry
85,"POLYGON ((103.8017914996868 1.463514880629852, 103.8027598935552 1.462955778169235, 103.8027598935552 1.461837573248002, 103.8017914996868 1.461278470787385, 103.8008231058184 1.461837573248002, 103.8008231058184 1.462955778169235, 103.8017914996868 1.463514880629852))"
86,"POLYGON ((103.8037282874237 1.463514880629852, 103.8046966812921 1.462955778169235, 103.8046966812921 1.461837573248002, 103.8037282874237 1.461278470787385, 103.8027598935553 1.461837573248002, 103.8027598935553 1.462955778169235, 103.8037282874237 1.463514880629852))"
87,"POLYGON ((103.8056650751605 1.463514880629852, 103.806633469029 1.462955778169235, 103.806633469029 1.461837573248002, 103.8056650751605 1.461278470787385, 103.8046966812921 1.461837573248002, 103.8046966812921 1.462955778169235, 103.8056650751605 1.463514880629852))"
88,"POLYGON ((103.8076018628974 1.463514880629852, 103.8085702567658 1.462955778169235, 103.8085702567658 1.461837573248002, 103.8076018628974 1.461278470787385, 103.806633469029 1.461837573248002, 103.806633469029 1.462955778169235, 103.8076018628974 1.463514880629852))"
89,"POLYGON ((103.8095386506342 1.463514880629852, 103.8105070445027 1.462955778169235, 103.8105070445027 1.461837573248002, 103.8095386506342 1.461278470787385, 103.8085702567658 1.461837573248002, 103.8085702567658 1.462955778169235, 103.8095386506342 1.463514880629852))"
90,"POLYGON ((103.8114754383711 1.463514880629852, 103.8124438322395 1.462955778169235, 103.8124438322395 1.461837573248002, 103.8114754383711 1.461278470787385, 103.8105070445027 1.461837573248002, 103.8105070445027 1.462955778169235, 103.8114754383711 1.463514880629852))"
91,"POLYGON ((103.8134122261079 1.463514880629852, 103.8143806199764 1.462955778169235, 103.8143806199764 1.461837573248002, 103.8134122261079 1.461278470787385, 103.8124438322395 1.461837573248002, 103.8124438322395 1.462955778169235, 103.8134122261079 1.463514880629852))"
92,"POLYGON ((103.8153490138448 1.463514880629852, 103.8163174077132 1.462955778169235, 103.8163174077132 1.461837573248002, 103.8153490138448 1.461278470787385, 103.8143806199764 1.461837573248002, 103.8143806199764 1.462955778169235, 103.8153490138448 1.463514880629852))"
93,"POLYGON ((103.8172858015816 1.463514880629852, 103.8182541954501 1.462955778169235, 103.8182541954501 1.461837573248002, 103.8172858015816 1.461278470787385, 103.8163174077132 1.461837573248002, 103.8163174077132 1.462955778169235, 103.8172858015816 1.463514880629852))"
94,"POLYGON ((103.8192225893185 1.463514880629852, 103.8201909831869 1.462955778169235, 103.8201909831869 1.461837573248002, 103.8192225893185 1.461278470787385, 103.8182541954501 1.461837573248002, 103.8182541954501 1.462955778169235, 103.8192225893185 1.463514880629852))"
95,"POLYGON ((103.8211593770554 1.463514880629852, 103.8221277709238 1.462955778169235, 103.8221277709238 1.461837573248002, 103.8211593770554 1.461278470787385, 103.8201909831869 1.461837573248002, 103.8201909831869 1.462955778169235, 103.8211593770554 1.463514880629852))"
96,"MULTIPOLYGON (((103.8237512653982 1.463136658118655, 103.8240645586606 1.462955778169235, 103.8240645586606 1.461837573248002, 103.8230961647922 1.461278470787385, 103.8228157505878 1.46144036800377, 103.8237512653982 1.463136658118655)), ((103.8230961647922 1.463514880629852, 103.8234279929008 1.463323299582052, 103.8224674815436 1.46164144123021, 103.8221277709238 1.461837573248002, 103.8221277709238 1.462955778169235, 103.8230961647922 1.463514880629852)))"
97,"POLYGON ((103.8250329525291 1.463514880629852, 103.8260013463975 1.462955778169235, 103.8260013463975 1.461837573248002, 103.8250329525291 1.461278470787385, 103.8240645586606 1.461837573248002, 103.8240645586606 1.462955778169235, 103.8250329525291 1.463514880629852))"
98,"POLYGON ((103.8269697402659 1.463514880629852, 103.8279381341343 1.462955778169235, 103.8279381341343 1.461837573248002, 103.8269697402659 1.461278470787385, 103.8260013463975 1.461837573248002, 103.8260013463975 1.462955778169235, 103.8269697402659 1.463514880629852))"
99,"POLYGON ((103.8289065280028 1.463514880629852, 103.8298749218712 1.462955778169235, 103.8298749218712 1.461837573248002, 103.8289065280028 1.461278470787385, 103.8279381341343 1.461837573248002, 103.8279381341343 1.462955778169235, 103.8289065280028 1.463514880629852))"
100,"POLYGON ((103.8308433157396 1.463514880629852, 103.831811709608 1.462955778169235, 103.831811709608 1.461837573248002, 103.8308433157396 1.461278470787385, 103.8298749218712 1.461837573248002, 103.8298749218712 1.462955778169235, 103.8308433157396 1.463514880629852))"
101,"POLYGON ((103.8327801034765 1.463514880629852, 103.8334336603588 1.463137549387935, 103.8324828560513 1.4614500866683, 103.831811709608 1.461837573248002, 103.831811709608 1.462955778169235, 103.8327801034765 1.463514880629852))"
102,"POLYGON ((103.8348539923756 1.463435725236898, 103.8356852850817 1.462955778169235, 103.8356852850817 1.461837573248002, 103.8347168912133 1.461278470787385, 103.8338948541749 1.461753074092792, 103.8348539923756 1.463435725236898))"
103,"POLYGON ((103.8366536789502 1.463514880629852, 103.8376220728186 1.462955778169235, 103.8376220728186 1.461837573248002, 103.8366536789502 1.461278470787385, 103.8356852850818 1.461837573248002, 103.8356852850818 1.462955778169235, 103.8366536789502 1.463514880629852))"
104,"POLYGON ((103.8395588605554 1.462555644923814, 103.8395588605554 1.461837573248002, 103.838590466687 1.461278470787385, 103.8376220728186 1.461837573248002, 103.8376220728186 1.462955778169235, 103.8383245358404 1.463361345383941, 103.838357727389 1.46333963254286, 103.838877174137 1.46303071880966, 103.839408425636 1.46268616214661, 103.8395588605554 1.462555644923814))"
105,"POLYGON ((103.8410945210186 1.461605982308559, 103.8405272544239 1.461278470787385, 103.8395588605555 1.461837573248002, 103.8395588605555 1.462555644923802, 103.839750787434 1.46238912930855, 103.840459122001 1.46191387687412, 103.8410945210186 1.461605982308559))"
106,"POLYGON ((103.793075954871 1.461837573248002, 103.7940443487394 1.461278470787385, 103.7940443487394 1.460160265866152, 103.7935271145399 1.459861640561822, 103.793336777473 1.46026676011363, 103.793314044123 1.46044416414443, 103.793310480662 1.4604719732538, 103.793186285369 1.46047148899937, 103.792808951262 1.46047002073438, 103.7922379801815 1.461353768335456, 103.793075954871 1.461837573248002))"
107,"POLYGON ((103.7950127426079 1.461837573248002, 103.7959811364763 1.461278470787385, 103.7959811364763 1.460160265866152, 103.7950127426079 1.459601163405535, 103.7940443487394 1.460160265866152, 103.7940443487394 1.461278470787385, 103.7950127426079 1.461837573248002))"
108,"POLYGON ((103.7969495303447 1.461837573248002, 103.7979179242131 1.461278470787385, 103.7979179242131 1.460160265866152, 103.7969495303447 1.459601163405535, 103.7959811364763 1.460160265866152, 103.7959811364763 1.461278470787385, 103.7969495303447 1.461837573248002))"
109,"POLYGON ((103.7988863180816 1.461837573248002, 103.79985471195 1.461278470787385, 103.79985471195 1.460160265866152, 103.7988863180816 1.459601163405535, 103.7979179242131 1.460160265866152, 103.7979179242131 1.461278470787385, 103.7988863180816 1.461837573248002))"
110,"POLYGON ((103.8008231058184 1.461837573248002, 103.8017914996868 1.461278470787385, 103.8017914996868 1.460160265866152, 103.8008231058184 1.459601163405535, 103.79985471195 1.460160265866152, 103.79985471195 1.461278470787385, 103.8008231058184 1.461837573248002))"
111,"POLYGON ((103.8027598935553 1.461837573248002, 103.8037282874237 1.461278470787385, 103.8037282874237 1.460160265866152, 103.8027598935553 1.459601163405535, 103.8017914996868 1.460160265866152, 103.8017914996868 1.461278470787385, 103.8027598935553 1.461837573248002))"
112,"POLYGON ((103.8046966812921 1.461837573248002, 103.8056650751605 1.461278470787385, 103.8056650751605 1.460160265866152, 103.8046966812921 1.459601163405535, 103.8037282874237 1.460160265866152, 103.8037282874237 1.461278470787385, 103.8046966812921 1.461837573248002))"
113,"POLYGON ((103.806633469029 1.461837573248002, 103.8076018628974 1.461278470787385, 103.8076018628974 1.460160265866152, 103.806633469029 1.459601163405535, 103.8056650751605 1.460160265866152, 103.8056650751605 1.461278470787385, 103.806633469029 1.461837573248002))"
114,"POLYGON ((103.8085702567658 1.461837573248002, 103.8095386506342 1.461278470787385, 103.8095386506342 1.460160265866152, 103.8085702567658 1.459601163405535, 103.8076018628974 1.460160265866152, 103.8076018628974 1.461278470787385, 103.8085702567658 1.461837573248002))"
115,"POLYGON ((103.8105070445027 1.461837573248002, 103.8114754383711 1.461278470787385, 103.8114754383711 1.460160265866152, 103.8105070445027 1.459601163405535, 103.8095386506343 1.460160265866152, 103.8095386506343 1.461278470787385, 103.8105070445027 1.461837573248002))"
116,"POLYGON ((103.8124438322395 1.461837573248002, 103.8134122261079 1.461278470787385, 103.8134122261079 1.460160265866152, 103.8124438322395 1.459601163405535, 103.8114754383711 1.460160265866152, 103.8114754383711 1.461278470787385, 103.8124438322395 1.461837573248002))"
117,"POLYGON ((103.8143806199764 1.461837573248002, 103.8153490138448 1.461278470787385, 103.8153490138448 1.460160265866152, 103.8143806199764 1.459601163405535, 103.813412226108 1.460160265866152, 103.813412226108 1.461278470787385, 103.8143806199764 1.461837573248002))"
118,"POLYGON ((103.8163174077132 1.461837573248002, 103.8172858015816 1.461278470787385, 103.8172858015816 1.460160265866152, 103.8163174077132 1.459601163405535, 103.8153490138448 1.460160265866152, 103.8153490138448 1.461278470787385, 103.8163174077132 1.461837573248002))"
119,"POLYGON ((103.8182541954501 1.461837573248002, 103.8192225893185 1.461278470787385, 103.8192225893185 1.460160265866152, 103.8182541954501 1.459601163405535, 103.8172858015817 1.460160265866152, 103.8172858015817 1.461278470787385, 103.8182541954501 1.461837573248002))"
120,"POLYGON ((103.8201909831869 1.461837573248002, 103.8211593770554 1.461278470787385, 103.8211593770554 1.460160265866152, 103.8201909831869 1.459601163405535, 103.8192225893185 1.460160265866152, 103.8192225893185 1.461278470787385, 103.8201909831869 1.461837573248002))"
121,"POLYGON ((103.8221277709238 1.461837573248002, 103.8224674815436 1.46164144123021, 103.822243078829 1.46124851138416, 103.822585442321 1.46102276944512, 103.8228157505878 1.46144036800377, 103.8230961647922 1.461278470787385, 103.8230961647922 1.460160265866152, 103.8221277709238 1.459601163405535, 103.8211593770554 1.460160265866152, 103.8211593770554 1.461278470787385, 103.8221277709238 1.461837573248002))"
122,"POLYGON ((103.8240645586606 1.461837573248002, 103.8250329525291 1.461278470787385, 103.8250329525291 1.460160265866152, 103.8240645586606 1.459601163405535, 103.8230961647922 1.460160265866152, 103.8230961647922 1.461278470787385, 103.8240645586606 1.461837573248002))"
123,"POLYGON ((103.8260013463975 1.461837573248002, 103.8269697402659 1.461278470787385, 103.8269697402659 1.460160265866152, 103.8260013463975 1.459601163405535, 103.8250329525291 1.460160265866152, 103.8250329525291 1.461278470787385, 103.8260013463975 1.461837573248002))"
124,"POLYGON ((103.8279381341343 1.461837573248002, 103.8289065280028 1.461278470787385, 103.8289065280028 1.460160265866152, 103.8279381341343 1.459601163405535, 103.8269697402659 1.460160265866152, 103.8269697402659 1.461278470787385, 103.8279381341343 1.461837573248002))"
125,"POLYGON ((103.8298749218712 1.461837573248002, 103.8308433157396 1.461278470787385, 103.8308433157396 1.460160265866152, 103.8298749218712 1.459601163405535, 103.8289065280028 1.460160265866152, 103.8289065280028 1.461278470787385, 103.8298749218712 1.461837573248002))"
126,"POLYGON ((103.831811709608 1.461837573248002, 103.8324828560513 1.4614500866683, 103.831958227351 1.46051898931569, 103.8326806156925 1.460102826567323, 103.831811709608 1.459601163405535, 103.8308433157396 1.460160265866152, 103.8308433157396 1.461278470787385, 103.831811709608 1.461837573248002))"
127,"POLYGON ((103.8338948541749 1.461753074092792, 103.8347168912133 1.461278470787385, 103.8347168912133 1.460160265866152, 103.8337484973449 1.459601163405535, 103.8329357159742 1.460070422948686, 103.8338948541749 1.461753074092792))"
128,"POLYGON ((103.8356852850818 1.461837573248002, 103.8366536789502 1.461278470787385, 103.8366536789502 1.460160265866152, 103.8356852850818 1.459601163405535, 103.8347168912133 1.460160265866152, 103.8347168912133 1.461278470787385, 103.8356852850818 1.461837573248002))"
129,"POLYGON ((103.8376220728186 1.461837573248002, 103.838590466687 1.461278470787385, 103.838590466687 1.460160265866152, 103.8376220728186 1.459601163405535, 103.8366536789502 1.460160265866152, 103.8366536789502 1.461278470787385, 103.8376220728186 1.461837573248002))"
130,"POLYGON ((103.8395588605555 1.461837573248002, 103.8405272544239 1.461278470787385, 103.8405272544239 1.460160265866152, 103.8395588605555 1.459601163405535, 103.838590466687 1.460160265866152, 103.838590466687 1.461278470787385, 103.8395588605555 1.461837573248002))"
131,"POLYGON ((103.8424640421607 1.460638473864377, 103.8424640421607 1.460160265866152, 103.8414956482923 1.459601163405535, 103.8405272544239 1.460160265866152, 103.8405272544239 1.461278470787385, 103.8410945210186 1.461605982308555, 103.841096624252 1.46160496314719, 103.841427180507 1.46150991155408, 103.841875791946 1.46117723522469, 103.842336208609 1.46071386465691, 103.8424640421607 1.460638473864377))"
132,"POLYGON ((103.8438318789599 1.459831781889138, 103.8434324360292 1.459601163405535, 103.8424640421607 1.460160265866152, 103.8424640421607 1.460638473864369, 103.8438318789599 1.459831781889138))"
133,"POLYGON ((103.7940443487394 1.460160265866152, 103.7950127426078 1.459601163405535, 103.7950127426078 1.458482958484302, 103.7944690242993 1.458169042572506, 103.794422615849 1.45822161125049, 103.794110939323 1.45864683385218, 103.793779163663 1.45932517107928, 103.7935271145399 1.459861640561822, 103.7940443487394 1.460160265866152))"
134,"POLYGON ((103.7959811364763 1.460160265866152, 103.7969495303447 1.459601163405535, 103.7969495303447 1.458482958484302, 103.7959811364763 1.457923856023685, 103.7950127426079 1.458482958484302, 103.7950127426079 1.459601163405535, 103.7959811364763 1.460160265866152))"
135,"POLYGON ((103.7979179242131 1.460160265866152, 103.7988863180815 1.459601163405535, 103.7988863180815 1.458482958484302, 103.7979179242131 1.457923856023685, 103.7969495303447 1.458482958484302, 103.7969495303447 1.459601163405535, 103.7979179242131 1.460160265866152))"
136,"POLYGON ((103.79985471195 1.460160265866152, 103.8008231058184 1.459601163405535, 103.8008231058184 1.458482958484302, 103.79985471195 1.457923856023685, 103.7988863180816 1.458482958484302, 103.7988863180816 1.459601163405535, 103.79985471195 1.460160265866152))"
137,"POLYGON ((103.8017914996868 1.460160265866152, 103.8027598935552 1.459601163405535, 103.8027598935552 1.458482958484302, 103.8017914996868 1.457923856023685, 103.8008231058184 1.458482958484302, 103.8008231058184 1.459601163405535, 103.8017914996868 1.460160265866152))"
138,"POLYGON ((103.8037282874237 1.460160265866152, 103.8046966812921 1.459601163405535, 103.8046966812921 1.458482958484302, 103.8037282874237 1.457923856023685, 103.8027598935553 1.458482958484302, 103.8027598935553 1.459601163405535, 103.8037282874237 1.460160265866152))"
139,"POLYGON ((103.8056650751605 1.460160265866152, 103.806633469029 1.459601163405535, 103.806633469029 1.458482958484302, 103.8056650751605 1.457923856023685, 103.8046966812921 1.458482958484302, 103.8046966812921 1.459601163405535, 103.8056650751605 1.460160265866152))"
140,"POLYGON ((103.8076018628974 1.460160265866152, 103.8085702567658 1.459601163405535, 103.8085702567658 1.458482958484302, 103.8076018628974 1.457923856023685, 103.806633469029 1.458482958484302, 103.806633469029 1.459601163405535, 103.8076018628974 1.460160265866152))"
141,"POLYGON ((103.8095386506342 1.460160265866152, 103.8105070445027 1.459601163405535, 103.8105070445027 1.458482958484302, 103.8095386506342 1.457923856023685, 103.8085702567658 1.458482958484302, 103.8085702567658 1.459601163405535, 103.8095386506342 1.460160265866152))"
142,"POLYGON ((103.8114754383711 1.460160265866152, 103.8124438322395 1.459601163405535, 103.8124438322395 1.458482958484302, 103.8114754383711 1.457923856023685, 103.8105070445027 1.458482958484302, 103.8105070445027 1.459601163405535, 103.8114754383711 1.460160265866152))"
143,"POLYGON ((103.8134122261079 1.460160265866152, 103.8143806199764 1.459601163405535, 103.8143806199764 1.458482958484302, 103.8134122261079 1.457923856023685, 103.8124438322395 1.458482958484302, 103.8124438322395 1.459601163405535, 103.8134122261079 1.460160265866152))"
144,"POLYGON ((103.8153490138448 1.460160265866152, 103.8163174077132 1.459601163405535, 103.8163174077132 1.458482958484302, 103.8153490138448 1.457923856023685, 103.8143806199764 1.458482958484302, 103.8143806199764 1.459601163405535, 103.8153490138448 1.460160265866152))"
145,"POLYGON ((103.8172858015816 1.460160265866152, 103.8182541954501 1.459601163405535, 103.8182541954501 1.458482958484302, 103.8172858015816 1.457923856023685, 103.8163174077132 1.458482958484302, 103.8163174077132 1.459601163405535, 103.8172858015816 1.460160265866152))"
146,"POLYGON ((103.8192225893185 1.460160265866152, 103.8201909831869 1.459601163405535, 103.8201909831869 1.458482958484302, 103.8192225893185 1.457923856023685, 103.8182541954501 1.458482958484302, 103.8182541954501 1.459601163405535, 103.8192225893185 1.460160265866152))"
147,"POLYGON ((103.8211593770554 1.460160265866152, 103.8221277709238 1.459601163405535, 103.8221277709238 1.458482958484302, 103.8211593770554 1.457923856023685, 103.8201909831869 1.458482958484302, 103.8201909831869 1.459601163405535, 103.8211593770554 1.460160265866152))"
